CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,TLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
16c8e60831bc026e0074fdff15e7e29f0dcaa3d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,0,0,0,0,0,0,0,0,0,100
27627ea5b3b2f71a37edb710b5817132667df19a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,20,0,0,0,0,0,0,0,0,0,100
84776d99c882dcee0c86791ad4f1144e7f71fa4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,0,0,0,0,0,0,100
67b88bbaa381cec96c2d6b3a07c79852f2dc534b,1,16,8,8,0,0,0,2,2,19,1,1,0,67,29,27,5,8,3,238,360,122,5,8,3,100
c096873e230f4e2b0aa926489253466f10d23c0b,1,8,1,7,0,0,0,2,2,19,1,1,0,320,30,28,5,5,0,1321,1295,26,5,5,0,100
1459ed444bf68a94ee9eb8ec835bb1c4b8aa69c1,1,1,0,1,0,0,0,2,2,19,1,1,0,77,31,29,8,8,0,464,464,0,8,8,0,100
6777fac98a7c9d332d0543450c7f2f29d3e81042,1,9,1,8,0,0,0,2,2,19,1,1,0,241,32,30,14,14,0,1836,1810,26,14,14,0,100
e363d4dec5f2905c86c859615addb0b4a87d7c1d,2,0,10,10,0,0,0,2,3,0,1,1,1,569,33,31,19,19,0,3123,3157,34,19,19,0,100
003bc538811f6c680eb6a9cf105d744bb3337ade,1,4,2,2,0,0,0,3,4,9,1,1,0,44,34,32,2,2,0,249,261,12,1,1,0,100
bcdcd66c6664e5a710d0d0394e9548e2cce1dcc8,1,23,0,23,0,0,0,2,2,22,1,1,0,97,35,33,20,20,0,525,525,0,5,5,0,100
426188a5e8ab45d49cdb7bf54a9aaad37619a1ba,313,77,815,738,0,0,0,2,4,0,1,48,7.956130222,25129,36,32,4417,4417,0,134216,134223,7,2356,2356,0,100
84933b6e834360c56026ac87ab065eb10c68824a,8,0,17,17,0,0,0,2,2,8,1,4,2.910992253,615,37,33,81,81,0,3411,3411,0,37,37,0,100
42a1bca48fbb7b5bd3b39a0ff078ca90bce7e820,133,1,277,276,0,0,0,2,5,0,1,20,6.932654361,14424,38,34,1188,1188,0,91486,91532,46,1025,1025,0,100
d256c5888e17034ae7c4df9b0c5296ebfb086d37,72,0,107,107,0,0,0,2,3,0,1,25,6.014603084,3754,39,29,554,554,0,14959,14959,0,458,458,0,100
f5c03aa0c381d65183fcef6148db59c4db3a4e28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,0,100
c0e707e1286424acc6474d2d7d5d106267d1ef9f,2,21,2,19,0,0,0,3,3,8,1,2,0.558629373,736,50,15,194,194,0,3312,3954,642,119,120,1,100
efa61dd42b059e3839d3d732d9a456b82941511b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,0,0,0,0,0,0,0,0,0,100
c88d78fa93c36d2e25caedd7e56777b992140341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,17,0,0,0,0,0,0,0,0,0,100
7852f4f3a78aa4204a5fd8da0ef3c4a5299a9ab6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,23,0,0,0,0,0,0,0,0,0,100
689f85163fdd9e24816852232dff8f1519cf4351,3,82,11,71,0,0,0,2,3,18,1,3,1.015244839,538,41,24,112,99,13,4408,4030,378,41,34,7,100
4e20560d97360d3fd05e32bd868bf29bcf1aaaed,2,37,0,37,0,0,0,2,3,20,1,2,0.956888666,298,42,25,38,36,2,2056,1918,138,25,23,2,100
4926dbaad338d2f52577da005d68669f82cbfd8f,2,36,1,35,0,0,0,2,4,10,1,2,0.405977038,414,43,26,69,68,1,2767,2573,194,41,40,1,100
e18af841f9aac9bd802cb6876c09bbdaa23411ee,1,20,6,14,0,0,0,2,4,0,1,1,0,200,44,27,14,14,0,1834,1754,80,14,14,0,100
08e666d5941b843923ea4e7e213b9a6955ca8ba3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,20,0,0,0,0,0,0,0,0,0,100
