7974fb8b27608c3bc68e82e17c361826870d0d95,OLTU-119,Improvement,Add a css to demo application,demo-client,Major,100
7b1f90838f922bc570718f9d9187c0fa45524f7d,OLTU-119,Improvement,Add a css to demo application,demo-client,Major,100
b74da212e3b021504b24347d39397476a6d01a94,OLTU-119,Improvement,Add a css to demo application,demo-client,Major,100
ed4dbb24425841f8b76a94719eb91799e9b00c2e,/,/,    trivial: code format,/,/,100
afa0bc1e8567c688d6899793a1b26b10f03cb681,/,/,    releng: updated spring FW to latest released version,/,/,100
e19bfc93bf98cbab2c65c1aa6ee5284722e03bb9,/,/,    trivial: no tabs,/,/,100
0f422c3137b8826df87f815c6512ea21eb88307d,/,/,    @releng updating the website,/,/,100
e0e5c38c3e7a7a580fec8a803dfeed3918882cc1,/,/,    @releng updating the website,/,/,100
a7a49bc5d112add28b6303d1020918edf31356d1,/,/,    @releng updating the website,/,/,100
013729a93c5ac974c4c3ff8ffdd57e84e32f14c3,/,/,    trivial: just inverted authentication header order,/,/,100
81371d354e5cafcbbbb20fde1e0c02fcef3934cf,OLTU-118,Sub-task,Implement JWS of the JOSE working group,jose-jws,Major,100
