adf5ad393d6f9ad434ec6c2347098eb5e0994b51,/,/,    update poms to 3.2.0-SNAPSHOT,/,/,100
a850031d11aa7fd18e6828c9cce4fa6b2809ffdd,OPENJPA-2800,Bug,StateManager field in enhanced entities are not &quot;synthetic&quot;,Enhance,Minor,100
5b67ce51801cb646d772dadd03a623312603a0df,OPENJPA-2800,Bug,StateManager field in enhanced entities are not &quot;synthetic&quot;,Enhance,Minor,100
919154ce690a4ec71810aab7679769071f9438a4,/,/,    remove unused import,/,/,100
eb2dbec1273e52d4258ed2b183106ca8d098ed94,OPENJPA-2789,Bug,JDBC connection not closed when running named query in explicitly opened connection,kernel,Critical,99.99330163
d5ac99d402df5129e686deee563106f9e66c11c1,/,/,    move back to Oracle11XE docker,/,/,100
760765379264569a1a0cc6d4453f90a67d513a16,/,/,    test needs Oracle specific create table stmt,/,/,100
3b51096dae69634322c8d92cb1f3317f3a25024a,OPENJPA-2866,Bug,[Oracle] add GenerationType#IDENTITY support for Oracle,jdbc,Major,100
d6a64bebcd275c1af8e9b9eebeb7ac741321c433,OPENJPA-2866,Bug,[Oracle] add GenerationType#IDENTITY support for Oracle,jdbc,Major,100
2408ff7d9e4d8f16b29d3d393310680e6d93316f,/,/,    tests which do not commit are not likely to fail...,/,/,100
bb214f93d4027c298a38eb679e97f6e8c2ed12d8,/,/,    fix TestQueryExcludingSubclasses sorting,/,/,100
d6a19dd56a020d2991129584dcf221262bff28d1,/,/,    Oracle seems to have changed their error handling.,/,/,100
c89a94abd8d31eb5571a51764e97d7061ea7ea47,/,/,    reduce loop count because that test takes 2 minutes,/,/,100
59a8586855b23cc38cf0c79c4ab050f9f1de7bfd,OPENJPA-2865,Bug,[Oracle] use native java.time JDBC features,jdbc,Major,100
c7539a11715954db1b8d55789e386fa7dae0837f,/,/,    new oracle docker image,/,/,100
683e78045cba80703154207a96e5935d64a076e1,OPENJPA-2863,Bug,java.time.LocalDateTime in Oracle gets rounded to just 3 digits,jpa,Major,100
a68835381e0975aa1c75cd381e5e37d63b1d0db1,OPENJPA-2864,Bug,respect the Columns precision when persisting a java.sql.Timestamp value,jdbc,Major,100
0fc957a02be3c4ad2f862f1424e56717b0887917,OPENJPA-2861,Bug,select sum(CASE x WHEN x THEN 1 ELSE 0 ) returns String instead of Long.,kernel,Major,95.15902367
5fd5de9fb8931548f98888abc2d577a4aea341ad,OPENJPA-2862,Bug,select SUM doesn&apos;t return spec defined types,kernel,Major,100
bb5503b1471b5ce5a2969d12451eced8c0c65b19,OPENJPA-2861,Bug,select sum(CASE x WHEN x THEN 1 ELSE 0 ) returns String instead of Long.,kernel,Major,100
3647e4e2574fc1ea37bb1b0b2e1c535b9818e23f,OPENJPA-2665,Improvement,refactore code to use more Java7 features.,,Major,100
2d3c6e6ee0f5f8f7f73291f33e5580455522070f,/,/,    clean up unit test,/,/,100
f1eee206a9554c50770690c0aed09536e1970e20,/,/,    update test-oracle profile,/,/,100
044c7d27b1e787509d00837443511a9f76cbf6dc,OPENJPA-2860,Bug,[Postgres] use setQueryTimeout for PostgreSQL &gt;= 10,jdbc,Major,100
1fb5234574994dd1ec023a04ffbbe042831d22bc,OPENJPA-2665,Improvement,refactore code to use more Java7 features.,,Major,100
d73e2e72f0f2c022aa2e0431a04a1552e7993d17,/,/,    collapse Exceptions and use Diamond style,/,/,100
a7708636e3d5440fa071075e94d726b50689a82b,/,/,    remove unecessary boxing/unboxing - no functional change,/,/,100
b0ba9c3e60305b441956837c8b71479dc6aba825,/,/,    code cleanup without functional change,/,/,99.97935761
9458d1720ba3ee6ea192103c89fc3e6ee85ce6e9,/,/,    remove obsolete commented out code and modifiers,/,/,100
7a75ccd80ab1bc5cd156335bbc11bf9e11b68a86,/,/,    fix asciidoc,/,/,100
515756b8237353b07d8fa617dc9d6f797ffddf6a,OPENJPA-2648,Bug,hsqldb @Id long create table as interger instead of bigint,,Blocker,100
1c30090c8c611843860ff83be862e22cbcf46cee,OPENJPA-2859,Bug,[HSQLDB] HSQLDictionary wrongly maps double to NUMERIC without precision,jdbc,Major,100
60cb785a3b528c57f0c55b62d3e67b4d9b2ca1f4,/,/,    update ant  hsqldb and log4j,/,/,100
